model,trial,x,y,z,volume,n_cells,n_points,n_voxels,n_vertices,preprocess,r_optim,voxelization,voxel_clip,graph_repr,path_finding,node_object_prep,link_object_prep,r_trace_prep,postprocess,total,other
bunny,2.0,115.1202392578125,89.19262313842773,111.71478271484378,302390.87748571363,259898.0,129951.0,444696.0,335504.0,0.11527338027954097,2.2483489990234373,60.110172844668945,0.0649424076,3.4656636238098146,53.047448157889164,22.12237982722815,1.6231722354888916,11.710221576690675,0.0752986908,154.58292174347864,29.715079164229834
hilbert,2.0,81.83244323730469,81.83242797851562,81.83242797851562,173666.65609356566,39936.0,19968.0,285897.0,56007.0,0.01889600758395992,2.5703545093536375,12.09475154876709,0.02323360437895506,0.5470664024353027,1.0559527397155761,46.138656759510866,3.46148886680603,51.107715225389526,0.24543128013610835,117.26354694407705,53.00512743020486
keypad_16,2.0,166.99999523162842,166.0000038146973,17.999998569488525,458519.2194331101,10316.0,5192.0,320211.0,124920.0,0.0076763154,2.680804967880249,4.733243560791015,0.02249426850185544,1.0076752662658692,19.61459627151489,39.507761573791505,5.931435251151172,149.07287607192993,0.35059022903442383,222.92915377626093,49.50843787202508
keypad_4,2.0,65.99999952316284,66.99999809265137,18.600000023841854,78284.09954,2116.0,1068.0,50176.0,18234.0,0.0049206254,2.2822426795771973,0.6874713898559326,0.0045794486,0.15242519378662106,3.099766016091846,2.264311408996582,1.1775514125823974,5.853250169754029,0.05637059193427731,15.582888936578883,5.942401360877074
keypad_9,2.0,115.99500274658206,116.9900016784668,18.60000079870224,241964.0425764021,7336.0,3688.0,155232.0,65784.0,0.006084013,2.370327043610449,2.390580654144287,0.01143746376813962,0.5251650810241699,7.26982364654541,11.768947172164918,2.8688591957092284,14.972287034988403,0.14005169868469233,42.3235630036397,17.6908716679616
land,2.0,94.1801300048828,87.53812408447266,88.40121618852345,317412.3695415129,29472.0,14738.0,325651.0,249004.0,0.01413173676943354,2.4197192668914793,18.617236709594728,0.04690384872463378,2.36972713470459,23.138992595672608,16.057897567749023,2.0558127880096437,8.921881294250488,0.10086307533469237,73.74316601770131,23.065055418183494
lion,2.0,97.75360107421876,94.20603942871094,119.72190856933594,613578.0471969304,69994.0,34999.0,384825.4,266067.0,0.1544437408447265,2.20829291343689,22.61417283962549,0.047812748010791,2.4896557331085205,132.60387163162233,16.530186462402344,2.068281173702515,22.57747039794922,0.0965221882,201.3907098289028,23.59519495970579
power,2.0,111.31022644042966,124.14916253089902,30.07499885559082,132101.65412710374,2256.0,1130.0,295056.0,105340.0,0.14154162406921383,2.3752721309661866,6.2299473762512205,0.026564264238159163,0.9814578533172608,155.63415837287903,14.048792743682862,1.6097237586975097,58.538170957565306,0.06948728559999999,239.65511636726674,19.25283966057119
